event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope,shadow_action,shadow_reason,fair_mid_source_status,fair_mid_source_reason,edge_gate_status,edge_gate_reason,fair_mid_px,edge_ticks,binance_source_age_ms,order_endpoint_called,private_endpoint_called,credential_read
84,trades,1782283222484,1782283222674388690,0.190477,buy,62827,62827,62828,1,0.005,19.79407,50,3958.814,3,0.00187,0,0.00187,19.79907,0.0000944488806797490993263825018,touched_quote_without_depletion,,0.00046,False,missing_same_side_strict_through_support,12,59512,275,2,same_touch_stable_enough,real_bbo_history_touch_stability,5682,1782283216802,13.52618,19.79407,6.26789,40,50,10,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
85,trades,1782283225015,1782283225267117326,0.252259,buy,62827,62827,62828,1,0.005,19.79407,50,3958.814,2,0.01747,0,0.01747,19.79907,0.0008823646767247148477175948163,touched_quote_without_depletion,,0.00436,False,missing_same_side_strict_through_support,11,54081,2806,2,same_touch_stable_enough,real_bbo_history_touch_stability,8213,1782283216802,13.52618,19.79407,6.26789,40,50,10,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
86,l2Book,1782283227591,1782283227860641157,0.269781,buy,62827,62827,62828,1,0.005,21.71078,52,4342.156,1,0.01614,0,0.01614,21.71578,0.0007432383271519604637733482288,touched_quote_without_depletion,,0.00403,False,missing_same_side_strict_through_support,12,59463,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,10789,1782283216802,19.79407,21.71078,1.91671,50,52,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
87,trades,1782283229045,1782283229283734347,0.238854,buy,62827,62827,62828,1,0.005,21.71078,52,4342.156,1,0,0,0,21.71578,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,11,54045,1454,3,same_touch_stable_enough,real_bbo_history_touch_stability,12243,1782283216802,19.79407,21.71078,1.91671,50,52,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
88,trades,1782283229664,1782283229850894266,0.187022,buy,62827,62827,62828,1,0.005,21.71078,52,4342.156,2,0.00036,0,0.00036,21.71578,0.00001657780655357532632951706087,touched_quote_without_depletion,,9e-05,False,missing_same_side_strict_through_support,11,54045,2073,3,same_touch_stable_enough,real_bbo_history_touch_stability,12862,1782283216802,19.79407,21.71078,1.91671,50,52,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
89,trades,1782283231389,1782283231676926781,0.288048,buy,62827,62827,62828,1,0.005,21.71078,52,4342.156,3,0.00158,0,0.00158,21.71578,0.00007275815098513615444621376713,touched_quote_without_depletion,,0.00039,False,missing_same_side_strict_through_support,11,54045,3798,3,same_touch_stable_enough,real_bbo_history_touch_stability,14587,1782283216802,19.79407,21.71078,1.91671,50,52,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
90,trades,1782283232461,1782283232773712320,0.312842,buy,62827,62827,62828,1,0.005,21.71078,52,4342.156,3,0.10061,0,0.10061,21.71578,0.00463303643709781550559086526,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,11,54045,4870,3,same_touch_stable_enough,real_bbo_history_touch_stability,15659,1782283216802,19.79407,21.71078,1.91671,50,52,2,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
91,l2Book,1782283233003,1782283233364379463,0.361469,buy,62827,62827,62828,1,0.005,11.68498,40,2336.996,2,0.10025,0,0.10025,11.68998,0.008575720403285548820442806575,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,12,59457,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,16201,1782283216802,21.71078,11.68498,-10.0258,52,40,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
92,trades,1782283233932,1782283234122913206,0.191082,buy,62827,62827,62828,1,0.005,11.68498,40,2336.996,4,0.10025,0,0.10025,11.68998,0.008575720403285548820442806575,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,11,54078,929,4,same_touch_stable_enough,real_bbo_history_touch_stability,17130,1782283216802,21.71078,11.68498,-10.0258,52,40,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
93,trades,1782283236415,1782283236605549134,0.19069,buy,62827,62827,62828,1,0.005,11.68498,40,2336.996,3,0.0003,0,0.0003,11.68998,0.00002566300370060513362726026905,touched_quote_without_depletion,,7e-05,False,missing_same_side_strict_through_support,11,54078,3412,4,same_touch_stable_enough,real_bbo_history_touch_stability,19613,1782283216802,21.71078,11.68498,-10.0258,52,40,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
94,trades,1782283237424,1782283237646159343,0.222252,buy,62827,62827,62828,1,0.005,11.68498,40,2336.996,2,0.0014,0,0.0014,11.68998,0.0001197606839361572902605479222,touched_quote_without_depletion,,0.00035,False,missing_same_side_strict_through_support,11,54078,4421,4,same_touch_stable_enough,real_bbo_history_touch_stability,20622,1782283216802,21.71078,11.68498,-10.0258,52,40,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
95,trades,1782283237692,1782283237886636288,0.194696,buy,62827,62827,62828,1,0.005,11.68498,40,2336.996,3,0.0014,0,0.0014,11.68998,0.0001197606839361572902605479222,touched_quote_without_depletion,,0.00035,False,missing_same_side_strict_through_support,11,54078,4689,4,same_touch_stable_enough,real_bbo_history_touch_stability,20890,1782283216802,21.71078,11.68498,-10.0258,52,40,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
96,trades,1782283238026,1782283238269403221,0.243469,buy,62827,62827,62828,1,0.005,11.68498,40,2336.996,4,0.0014,0,0.0014,11.68998,0.0001197606839361572902605479222,touched_quote_without_depletion,,0.00035,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,11,54078,5023,4,last_l2_too_old,real_bbo_history_stale,21224,1782283216802,21.71078,11.68498,-10.0258,52,40,-12,reset_supported,same_touch_top_qty_or_order_count_reduced,block,last_l2_too_old,last_l2_too_old,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
97,l2Book,1782283238441,1782283238783467288,0.342586,buy,62827,62827,62828,1,0.005,4.29772,26,859.544,4,0.0014,0,0.0014,4.30272,0.0003253755763795924438494719619,touched_quote_without_depletion,,0.00035,False,missing_same_side_strict_through_support,12,59516,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,21639,1782283216802,21.71078,4.29772,-17.41306,52,26,-26,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
98,trades,1782283241230,1782283241448710645,0.218853,buy,62827,62827,62828,1,0.005,4.29772,26,859.544,3,0.00399,0,0.00399,4.30272,0.0009273203926818384649709950915,touched_quote_without_depletion,,0.00099,False,missing_same_side_strict_through_support,11,54016,2789,5,same_touch_stable_enough,real_bbo_history_touch_stability,24428,1782283216802,21.71078,4.29772,-17.41306,52,26,-26,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
99,trades,1782283241295,1782283241515992871,0.221051,buy,62827,62827,62828,1,0.005,4.29772,26,859.544,4,0.00797,0,0.00797,4.30272,0.00185231667410382269820020824,touched_quote_without_depletion,,0.00199,False,missing_same_side_strict_through_support,11,54016,2854,5,same_touch_stable_enough,real_bbo_history_touch_stability,24493,1782283216802,21.71078,4.29772,-17.41306,52,26,-26,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
100,l2Book,1782283243812,1782283244093705029,0.281838,buy,62827,62827,62828,1,0.005,0.07292,2,14.584,4,0.00797,0,0.00797,0.07792,0.102284394250513347022587269,touched_quote_without_depletion,,0.00199,False,missing_same_side_strict_through_support,12,59387,0,6,same_touch_stable_enough,real_bbo_history_touch_stability,27010,1782283216802,21.71078,0.07292,-21.63786,52,2,-50,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
101,trades,1782283244009,1782283244230820463,0.221891,buy,62827,62827,62828,1,0.005,0.07292,2,14.584,5,0.01343,0,0.01343,0.07792,0.172356262833675564681724846,touched_quote_without_depletion,,0.00335,False,missing_same_side_strict_through_support,12,59387,197,6,same_touch_stable_enough,real_bbo_history_touch_stability,27207,1782283216802,21.71078,0.07292,-21.63786,52,2,-50,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
102,trades,1782283244836,1782283245041931779,0.206047,buy,62827,62827,62828,1,0.005,0.07292,2,14.584,2,0.00546,0,0.00546,0.07792,0.070071868583162217659137577,touched_quote_without_depletion,,0.00136,False,missing_same_side_strict_through_support,11,53981,1024,6,same_touch_stable_enough,real_bbo_history_touch_stability,28034,1782283216802,21.71078,0.07292,-21.63786,52,2,-50,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
103,trades,1782283245303,1782283245518638034,0.215706,buy,62827,62827,62828,1,0.005,0.07292,2,14.584,4,0.01093,0,0.01093,0.07792,0.1402720739219712525667351129,touched_quote_without_depletion,,0.00273,False,missing_same_side_strict_through_support,11,53981,1491,6,same_touch_stable_enough,real_bbo_history_touch_stability,28501,1782283216802,21.71078,0.07292,-21.63786,52,2,-50,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
104,trades,1782283245454,1782283245721687930,0.267744,buy,62827,62827,62828,1,0.005,0.07292,2,14.584,5,0.01093,0,0.01093,0.07792,0.1402720739219712525667351129,touched_quote_without_depletion,,0.00273,False,missing_same_side_strict_through_support,11,53981,1642,6,same_touch_stable_enough,real_bbo_history_touch_stability,28652,1782283216802,21.71078,0.07292,-21.63786,52,2,-50,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
105,trades,1782283248005,1782283248263366099,0.258509,buy,62827,62827,62828,1,0.005,0.07292,2,14.584,5,0.0062,0,0.0062,0.07792,0.07956878850102669404517453799,touched_quote_without_depletion,,0.00155,False,missing_same_side_strict_through_support,11,53981,4193,6,same_touch_stable_enough,real_bbo_history_touch_stability,31203,1782283216802,21.71078,0.07292,-21.63786,52,2,-50,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
106,l2Book,1782283249222,1782283249546949250,0.325058,buy,62827,62827,62828,1,0.005,0.53876,3,107.752,2,0.00073,0,0.00073,0.54376,0.001342504045902604090039723407,touched_quote_without_depletion,,0.00018,False,missing_same_side_strict_through_support,12,59391,0,7,same_touch_stable_enough,real_bbo_history_touch_stability,32420,1782283216802,21.71078,0.53876,-21.17202,52,3,-49,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
107,trades,1782283249561,1782283249865473726,0.304543,buy,62827,62827,62828,1,0.005,0.53876,3,107.752,3,0.00103,0,0.00103,0.54376,0.001894218037369427688686185082,touched_quote_without_depletion,,0.00025,False,missing_same_side_strict_through_support,12,59391,339,7,same_touch_stable_enough,real_bbo_history_touch_stability,32759,1782283216802,21.71078,0.53876,-21.17202,52,3,-49,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
108,trades,1782283251027,1782283251283277426,0.25642,buy,62827,62827,62828,1,0.005,0.53876,3,107.752,2,0.0003,0,0.0003,0.54376,0.0005517139914668235986464616743,touched_quote_without_depletion,,7e-05,False,missing_same_side_strict_through_support,11,53954,1805,7,same_touch_stable_enough,real_bbo_history_touch_stability,34225,1782283216802,21.71078,0.53876,-21.17202,52,3,-49,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
109,trades,1782283252056,1782283252295193497,0.239311,buy,62827,62827,62828,1,0.005,0.53876,3,107.752,3,0.00088,0,0.00088,0.54376,0.001618361041636015889362954245,touched_quote_without_depletion,,0.00022,False,missing_same_side_strict_through_support,11,53954,2834,7,same_touch_stable_enough,real_bbo_history_touch_stability,35254,1782283216802,21.71078,0.53876,-21.17202,52,3,-49,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
110,trades,1782283254376,1782283254861676851,0.485825,buy,62827,62827,62828,1,0.005,0.53876,3,107.752,3,0.00058,0,0.00058,0.54376,0.00106664705016919229071649257,touched_quote_without_depletion,,0.00014,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,11,53954,5154,7,last_l2_too_old,real_bbo_history_stale,37574,1782283216802,21.71078,0.53876,-21.17202,52,3,-49,reset_supported,same_touch_top_qty_or_order_count_reduced,block,last_l2_too_old,last_l2_too_old,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
111,l2Book,1782283254644,1782283255082247275,0.43835,buy,62827,62827,62828,1,0.005,7.29091,13,1458.182,3,0.00058,0,0.00058,7.29591,0.00007949659466742325494694972937,touched_quote_without_depletion,,0.00014,False,missing_same_side_strict_through_support,12,59376,0,8,same_touch_stable_enough,real_bbo_history_touch_stability,37842,1782283216802,21.71078,7.29091,-14.41987,52,13,-39,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
112,trades,1782283255082,1782283255340362336,0.25843,buy,62827,62827,62828,1,0.005,7.29091,13,1458.182,3,0.01614,0,0.01614,7.29591,0.002212198341262433335937532124,touched_quote_without_depletion,,0.00403,False,missing_same_side_strict_through_support,12,59376,438,8,same_touch_stable_enough,real_bbo_history_touch_stability,38280,1782283216802,21.71078,7.29091,-14.41987,52,13,-39,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
113,trades,1782283257542,1782283257768164174,0.226303,buy,62827,62827,62828,1,0.005,7.29091,13,1458.182,2,0.01614,0,0.01614,7.29591,0.002212198341262433335937532124,touched_quote_without_depletion,,0.00403,False,missing_same_side_strict_through_support,11,54024,2898,8,same_touch_stable_enough,real_bbo_history_touch_stability,40740,1782283216802,21.71078,7.29091,-14.41987,52,13,-39,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
114,trades,1782283258283,1782283258495888765,0.212977,buy,62827,62827,62828,1,0.005,7.29091,13,1458.182,3,0.04424,0,0.04424,7.29591,0.006063671289804835860091475909,touched_quote_without_depletion,,0.005,False,missing_same_side_strict_through_support,11,54024,3639,8,same_touch_stable_enough,real_bbo_history_touch_stability,41481,1782283216802,21.71078,7.29091,-14.41987,52,13,-39,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
115,trades,1782283258480,1782283258755530259,0.27561,buy,62827,62827,62828,1,0.005,7.29091,13,1458.182,10,0.04424,0.00134,0.04558,7.29591,0.006247335836105434414624083905,strict_trade_through_seen_but_visible_top_not_depleted,,0.002,False,outside_quality_a_b_queue_bands,11,54024,3836,8,same_touch_stable_enough,real_bbo_history_touch_stability,41678,1782283216802,21.71078,7.29091,-14.41987,52,13,-39,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,outside_quality_a_b_queue_bands,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
116,l2Book,1782283260047,1782283260545778219,0.498926,buy,62822,62822,62823,1,0.005,0.00017,1,0.034,10,0,0,0,0.00517,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,12,59427,0,1,same_touch_seen_but_not_stable,real_bbo_history_insufficient,0,1782283260047,,0.00017,,,1,,missing,no_prior_same_touch_bbo,block,no_prior_same_touch_bbo,same_touch_seen_but_not_stable,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
117,trades,1782283264884,1782283265130870173,0.247006,buy,62822,62822,62823,1,0.005,0.00017,1,0.034,2,0.00109,0,0.00109,0.00517,0.2108317214700193423597678917,depleted_visible_top_proxy_only,,0.00027,False,missing_same_side_strict_through_support,11,54053,4837,1,same_touch_stable_enough,real_bbo_history_touch_stability,4837,1782283260047,,0.00017,,,1,,missing,no_prior_same_touch_bbo,pass,,,no_prior_same_touch_bbo,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
118,l2Book,1782283265358,1782283265658790389,0.300908,buy,62822,62822,62823,1,0.005,5.45459,12,1090.918,2,0.00109,0,0.00109,5.45959,0.0001996486915684144780102535172,touched_quote_without_depletion,,0.00027,False,missing_same_side_strict_through_support,12,59364,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,5311,1782283260047,0.00017,5.45459,5.45442,1,12,11,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
119,trades,1782283266231,1782283266426183850,0.195277,buy,62822,62822,62823,1,0.005,5.45459,12,1090.918,3,0.00138,0,0.00138,5.45959,0.0002527662333618458528937154622,touched_quote_without_depletion,,0.00034,False,missing_same_side_strict_through_support,11,53970,873,2,same_touch_stable_enough,real_bbo_history_touch_stability,6184,1782283260047,0.00017,5.45459,5.45442,1,12,11,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
120,trades,1782283268039,1782283268360620958,0.321723,buy,62822,62822,62823,1,0.005,5.45459,12,1090.918,2,0.00029,0,0.00029,5.45959,0.00005311754179343137488346194494,touched_quote_without_depletion,,7e-05,False,missing_same_side_strict_through_support,11,53970,2681,2,same_touch_stable_enough,real_bbo_history_touch_stability,7992,1782283260047,0.00017,5.45459,5.45442,1,12,11,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
121,trades,1782283270370,1782283270559324421,0.189439,buy,62822,62822,62823,1,0.005,5.45459,12,1090.918,2,0.00035,0,0.00035,5.45959,0.00006410737802655510761797131286,touched_quote_without_depletion,,8e-05,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,11,53970,5012,2,last_l2_too_old,real_bbo_history_stale,10323,1782283260047,0.00017,5.45459,5.45442,1,12,11,not_reset,history_present_no_reset,block,last_l2_too_old,last_l2_too_old,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability,block,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,block,fresh_touch_not_allowed,block,edge_signal_missing,,,,False,False,False
