event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,exchange_time_delta_from_previous_ms,local_receive_delta_from_previous_ms,exchange_time_regressed_from_previous,previous_l2_event_sequence,previous_l2_exchange_time_ms,latest_l2_age_ms_by_exchange_time,previous_trade_event_sequence,previous_trade_exchange_time_ms,latest_trade_age_ms_by_exchange_time,next_l2_event_sequence,next_l2_exchange_time_ms,next_l2_delta_ms_by_exchange_time,next_trade_event_sequence,next_trade_exchange_time_ms,next_trade_delta_ms_by_exchange_time,local_receive_ordering_status,exchange_time_ordering_status,bbo_history_count_proxy_from_candidate_events,bbo_history_span_ms_proxy,freshness_source,fresh_touch_evidence_status,top_reset_status,skip_reason
138,trades,1782283291947,1782283292153146279,1143,1119.001291,False,134,1782283286956,4991,137,1782283290804,1143,139,1782283292393,446,140,1782283296358,4411,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,35,185715,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
139,l2Book,1782283292393,1782283292706020136,446,552.873857,False,134,1782283286956,5437,138,1782283291947,446,142,1782283297767,5374,140,1782283296358,3965,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,36,186161,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
140,trades,1782283296358,1782283296541124010,3965,3835.103874,False,139,1782283292393,3965,138,1782283291947,4411,142,1782283297767,1409,141,1782283297767,1409,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,36,190126,real_bbo_history_touch_stability,pass,reset_supported,outside_quality_a_b_queue_bands
141,trades,1782283297767,1782283298064010904,1409,1522.886894,False,139,1782283292393,5374,140,1782283296358,1409,142,1782283297767,0,143,1782283298035,268,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,36,191535,real_bbo_history_stale,block,reset_supported,missing_touch_freshness_or_queue_reset_evidence
142,l2Book,1782283297767,1782283298064479590,0,0.468686,False,139,1782283292393,5374,141,1782283297767,0,146,1782283303177,5410,143,1782283298035,268,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,37,191535,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
143,trades,1782283298035,1782283298268791068,268,204.311478,False,142,1782283297767,268,141,1782283297767,268,146,1782283303177,5142,144,1782283298706,671,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,37,191803,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
144,trades,1782283298706,1782283298894270743,671,625.479675,False,142,1782283297767,939,143,1782283298035,671,146,1782283303177,4471,145,1782283301895,3189,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,37,192474,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
145,trades,1782283301895,1782283302075621807,3189,3181.351064,False,142,1782283297767,4128,144,1782283298706,3189,146,1782283303177,1282,147,1782283304050,2155,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,37,195663,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
146,l2Book,1782283303177,1782283303466442364,1282,1390.820557,False,142,1782283297767,5410,145,1782283301895,1282,152,1782283308609,5432,147,1782283304050,873,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,38,196945,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
147,trades,1782283304050,1782283304284131667,873,817.689303,False,146,1782283303177,873,145,1782283301895,2155,152,1782283308609,4559,148,1782283304452,402,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,38,197818,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
148,trades,1782283304452,1782283304652808172,402,368.676505,False,146,1782283303177,1275,147,1782283304050,402,152,1782283308609,4157,149,1782283305483,1031,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,38,198220,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
149,trades,1782283305483,1782283305698131904,1031,1045.323732,False,146,1782283303177,2306,148,1782283304452,1031,152,1782283308609,3126,150,1782283306786,1303,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,38,199251,real_bbo_history_touch_stability,pass,reset_supported,outside_quality_a_b_queue_bands
150,trades,1782283306786,1782283306949938436,1303,1251.806532,False,146,1782283303177,3609,149,1782283305483,1303,152,1782283308609,1823,151,1782283308049,1263,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,38,200554,real_bbo_history_touch_stability,pass,reset_supported,outside_quality_a_b_queue_bands
151,trades,1782283308049,1782283308402371642,1263,1452.433206,False,146,1782283303177,4872,150,1782283306786,1263,152,1782283308609,560,153,1782283311009,2960,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,38,201817,real_bbo_history_touch_stability,pass,reset_supported,outside_quality_a_b_queue_bands
152,l2Book,1782283308609,1782283308925339573,560,522.967931,False,146,1782283303177,5432,151,1782283308049,560,156,1782283313943,5334,153,1782283311009,2400,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,39,202377,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
153,trades,1782283311009,1782283311261580198,2400,2336.240625,False,152,1782283308609,2400,151,1782283308049,2960,156,1782283313943,2934,154,1782283312036,1027,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,39,204777,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
154,trades,1782283312036,1782283312279214977,1027,1017.634779,False,152,1782283308609,3427,153,1782283311009,1027,156,1782283313943,1907,155,1782283313675,1639,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,39,205804,real_bbo_history_touch_stability,pass,missing,outside_quality_a_b_queue_bands
155,trades,1782283313675,1782283313861810983,1639,1582.596006,False,152,1782283308609,5066,154,1782283312036,1639,156,1782283313943,268,157,1782283314277,602,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,39,207443,real_bbo_history_stale,block,missing,missing_touch_freshness_or_queue_reset_evidence
156,l2Book,1782283313943,1782283314236069527,268,374.258544,False,152,1782283308609,5334,155,1782283313675,268,160,1782283319336,5393,157,1782283314277,334,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,40,207711,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
157,trades,1782283314277,1782283314489780308,334,253.710781,False,156,1782283313943,334,155,1782283313675,602,160,1782283319336,5059,158,1782283315026,749,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,40,208045,real_bbo_history_touch_stability,pass,missing,
158,trades,1782283315026,1782283315407760859,749,917.980551,False,156,1782283313943,1083,157,1782283314277,749,160,1782283319336,4310,159,1782283319006,3980,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,40,208794,real_bbo_history_touch_stability,pass,missing,
159,trades,1782283319006,1782283319220325802,3980,3812.564943,False,156,1782283313943,5063,158,1782283315026,3980,160,1782283319336,330,161,1782283321146,2140,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,40,212774,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
160,l2Book,1782283319336,1782283319630258429,330,409.932627,False,156,1782283313943,5393,159,1782283319006,330,163,1782283324684,5348,161,1782283321146,1810,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,41,213104,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
161,trades,1782283321146,1782283321334297505,1810,1704.039076,False,160,1782283319336,1810,159,1782283319006,2140,163,1782283324684,3538,162,1782283324014,2868,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,41,214914,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
162,trades,1782283324014,1782283324251681176,2868,2917.383671,False,160,1782283319336,4678,161,1782283321146,2868,163,1782283324684,670,164,1782283326926,2912,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,41,217782,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
163,l2Book,1782283324684,1782283324981708214,670,730.027038,False,160,1782283319336,5348,162,1782283324014,670,167,1782283329982,5298,164,1782283326926,2242,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,42,218452,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
164,trades,1782283326926,1782283327125026229,2242,2143.318015,False,163,1782283324684,2242,162,1782283324014,2912,167,1782283329982,3056,165,1782283327403,477,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,42,220694,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
165,trades,1782283327403,1782283327670605328,477,545.579099,False,163,1782283324684,2719,164,1782283326926,477,167,1782283329982,2579,166,1782283328008,605,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,42,221171,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
166,trades,1782283328008,1782283328292535161,605,621.929833,False,163,1782283324684,3324,165,1782283327403,605,167,1782283329982,1974,168,1782283331458,3450,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,42,221776,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
167,l2Book,1782283329982,1782283330466314909,1974,2173.779748,False,163,1782283324684,5298,166,1782283328008,1974,171,1782283335360,5378,168,1782283331458,1476,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,43,223750,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
168,trades,1782283331458,1782283331705113796,1476,1238.798887,False,167,1782283329982,1476,166,1782283328008,3450,171,1782283335360,3902,169,1782283331678,220,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,43,225226,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
169,trades,1782283331678,1782283331989236357,220,284.122561,False,167,1782283329982,1696,168,1782283331458,220,171,1782283335360,3682,170,1782283334001,2323,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,43,225446,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
170,trades,1782283334001,1782283334237234181,2323,2247.997824,False,167,1782283329982,4019,169,1782283331678,2323,171,1782283335360,1359,172,1782283335700,1699,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,43,227769,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
171,l2Book,1782283335360,1782283335636679135,1359,1399.444954,False,167,1782283329982,5378,170,1782283334001,1359,176,1782283340724,5364,172,1782283335700,340,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,44,229128,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
172,trades,1782283335700,1782283335889964011,340,253.284876,False,171,1782283335360,340,170,1782283334001,1699,176,1782283340724,5024,173,1782283338030,2330,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,44,229468,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
173,trades,1782283338030,1782283338418439159,2330,2528.475148,False,171,1782283335360,2670,172,1782283335700,2330,176,1782283340724,2694,174,1782283339516,1486,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,44,231798,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
174,trades,1782283339516,1782283339715455546,1486,1297.016387,False,171,1782283335360,4156,173,1782283338030,1486,176,1782283340724,1208,175,1782283340525,1009,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,44,233284,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
175,trades,1782283340525,1782283340723246995,1009,1007.791449,False,171,1782283335360,5165,174,1782283339516,1009,176,1782283340724,199,177,1782283341047,522,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,44,234293,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
176,l2Book,1782283340724,1782283341012349821,199,289.102826,False,171,1782283335360,5364,175,1782283340525,199,181,1782283346075,5351,177,1782283341047,323,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,45,234492,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
177,trades,1782283341047,1782283341307851184,323,295.501363,False,176,1782283340724,323,175,1782283340525,522,181,1782283346075,5028,178,1782283341814,767,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,45,234815,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
178,trades,1782283341814,1782283342084650252,767,776.799068,False,176,1782283340724,1090,177,1782283341047,767,181,1782283346075,4261,179,1782283342017,203,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,45,235582,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
179,trades,1782283342017,1782283342248365611,203,163.715359,False,176,1782283340724,1293,178,1782283341814,203,181,1782283346075,4058,180,1782283345039,3022,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,45,235785,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
180,trades,1782283345039,1782283345551245147,3022,3302.879536,False,176,1782283340724,4315,179,1782283342017,3022,181,1782283346075,1036,182,1782283349008,3969,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,45,238807,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support
181,l2Book,1782283346075,1782283346378874068,1036,827.628921,False,176,1782283340724,5351,180,1782283345039,1036,183,1782283351508,5433,182,1782283349008,2933,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,46,239843,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
182,trades,1782283349008,1782283349244168921,2933,2865.294853,False,181,1782283346075,2933,180,1782283345039,3969,183,1782283351508,2500,184,1782283351651,2643,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,46,242776,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
183,l2Book,1782283351508,1782283351785032073,2500,2540.863152,False,181,1782283346075,5433,182,1782283349008,2500,187,1782283356921,5413,184,1782283351651,143,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,47,245276,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
184,trades,1782283351651,1782283351870260492,143,85.228419,False,183,1782283351508,143,182,1782283349008,2643,187,1782283356921,5270,185,1782283354899,3248,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,47,245419,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
185,trades,1782283354899,1782283355110223999,3248,3239.963507,False,183,1782283351508,3391,184,1782283351651,3248,187,1782283356921,2022,186,1782283355624,725,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,47,248667,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
186,trades,1782283355624,1782283355834137992,725,723.913993,False,183,1782283351508,4116,185,1782283354899,725,187,1782283356921,1297,188,1782283358042,2418,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,47,249392,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
187,l2Book,1782283356921,1782283357211581275,1297,1377.443283,False,183,1782283351508,5413,186,1782283355624,1297,191,1782283362308,5387,188,1782283358042,1121,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,48,250689,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
188,trades,1782283358042,1782283358285333439,1121,1073.752164,False,187,1782283356921,1121,186,1782283355624,2418,191,1782283362308,4266,189,1782283358388,346,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,48,251810,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
189,trades,1782283358388,1782283358577904258,346,292.570819,False,187,1782283356921,1467,188,1782283358042,346,191,1782283362308,3920,190,1782283360140,1752,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,48,252156,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
190,trades,1782283360140,1782283360666782714,1752,2088.878456,False,187,1782283356921,3219,189,1782283358388,1752,191,1782283362308,2168,192,1782283362643,2503,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,48,253908,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
191,l2Book,1782283362308,1782283362594808916,2168,1928.026202,False,187,1782283356921,5387,190,1782283360140,2168,195,1782283367763,5455,192,1782283362643,335,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,49,256076,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
192,trades,1782283362643,1782283362835436316,335,240.6274,False,191,1782283362308,335,190,1782283360140,2503,195,1782283367763,5120,193,1782283362791,148,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,49,256411,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
193,trades,1782283362791,1782283362991233388,148,155.797072,False,191,1782283362308,483,192,1782283362643,148,195,1782283367763,4972,194,1782283364003,1212,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,49,256559,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
194,trades,1782283364003,1782283364253630495,1212,1262.397107,False,191,1782283362308,1695,193,1782283362791,1212,195,1782283367763,3760,196,1782283368030,4027,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,49,257771,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
195,l2Book,1782283367763,1782283368065436336,3760,3811.805841,False,191,1782283362308,5455,194,1782283364003,3760,202,1782283373233,5470,196,1782283368030,267,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,261531,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
196,trades,1782283368030,1782283368299644219,267,234.207883,False,195,1782283367763,267,194,1782283364003,4027,202,1782283373233,5203,197,1782283369192,1162,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,261798,real_bbo_history_touch_stability,pass,reset_supported,
197,trades,1782283369192,1782283369376708882,1162,1077.064663,False,195,1782283367763,1429,196,1782283368030,1162,202,1782283373233,4041,198,1782283371024,1832,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,262960,real_bbo_history_touch_stability,pass,reset_supported,
198,trades,1782283371024,1782283371381460945,1832,2004.752063,False,195,1782283367763,3261,197,1782283369192,1832,202,1782283373233,2209,199,1782283372050,1026,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,264792,real_bbo_history_touch_stability,pass,reset_supported,
199,trades,1782283372050,1782283372268996362,1026,887.535417,False,195,1782283367763,4287,198,1782283371024,1026,202,1782283373233,1183,200,1782283372693,643,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,265818,real_bbo_history_touch_stability,pass,reset_supported,
200,trades,1782283372693,1782283372989390811,643,720.394449,False,195,1782283367763,4930,199,1782283372050,643,202,1782283373233,540,201,1782283372897,204,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,266461,real_bbo_history_touch_stability,pass,reset_supported,
201,trades,1782283372897,1782283373124840009,204,135.449198,False,195,1782283367763,5134,200,1782283372693,204,202,1782283373233,336,203,1782283375043,2146,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,50,266665,real_bbo_history_stale,block,reset_supported,missing_touch_freshness_or_queue_reset_evidence
202,l2Book,1782283373233,1782283373550297886,336,425.457877,False,195,1782283367763,5470,201,1782283372897,336,206,1782283378672,5439,203,1782283375043,1810,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,51,267001,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
203,trades,1782283375043,1782283375369904444,1810,1819.606558,False,202,1782283373233,1810,201,1782283372897,2146,206,1782283378672,3629,204,1782283377328,2285,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,51,268811,real_bbo_history_touch_stability,pass,missing,
204,trades,1782283377328,1782283377555484646,2285,2185.580202,False,202,1782283373233,4095,203,1782283375043,2285,206,1782283378672,1344,205,1782283377433,105,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,51,271096,real_bbo_history_touch_stability,pass,missing,
205,trades,1782283377433,1782283377615312143,105,59.827497,False,202,1782283373233,4200,204,1782283377328,105,206,1782283378672,1239,207,1782283379019,1586,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,51,271201,real_bbo_history_touch_stability,pass,missing,
206,l2Book,1782283378672,1782283378932817112,1239,1317.504969,False,202,1782283373233,5439,205,1782283377433,1239,210,1782283383959,5287,207,1782283379019,347,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,52,272440,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
207,trades,1782283379019,1782283379275383612,347,342.5665,False,206,1782283378672,347,205,1782283377433,1586,210,1782283383959,4940,208,1782283380759,1740,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,52,272787,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
208,trades,1782283380759,1782283381050824101,1740,1775.440489,False,206,1782283378672,2087,207,1782283379019,1740,210,1782283383959,3200,209,1782283383694,2935,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,52,274527,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
209,trades,1782283383694,1782283383889073733,2935,2838.249632,False,206,1782283378672,5022,208,1782283380759,2935,210,1782283383959,265,211,1782283384030,336,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,52,277462,real_bbo_history_stale,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
210,l2Book,1782283383959,1782283384256984074,265,367.910341,False,206,1782283378672,5287,209,1782283383694,265,213,1782283389333,5374,211,1782283384030,71,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,53,277727,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
211,trades,1782283384030,1782283384319662566,71,62.678492,False,210,1782283383959,71,209,1782283383694,336,213,1782283389333,5303,212,1782283388057,4027,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,53,277798,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput
212,trades,1782283388057,1782283388326844473,4027,4007.181907,False,210,1782283383959,4098,211,1782283384030,4027,213,1782283389333,1276,214,1782283389981,1924,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,53,281825,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
213,l2Book,1782283389333,1782283389657480221,1276,1330.635748,False,210,1782283383959,5374,212,1782283388057,1276,219,1782283394689,5356,214,1782283389981,648,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,54,283101,real_bbo_history_touch_stability,pass,not_reset,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput
214,trades,1782283389981,1782283390181975347,648,524.495126,False,213,1782283389333,648,212,1782283388057,1924,219,1782283394689,4708,215,1782283390122,141,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,54,283749,real_bbo_history_touch_stability,pass,not_reset,
215,trades,1782283390122,1782283390363178647,141,181.2033,False,213,1782283389333,789,214,1782283389981,141,219,1782283394689,4567,216,1782283390476,354,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,54,283890,real_bbo_history_touch_stability,pass,not_reset,
216,trades,1782283390476,1782283390909967538,354,546.788891,False,213,1782283389333,1143,215,1782283390122,354,219,1782283394689,4213,217,1782283391748,1272,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,54,284244,real_bbo_history_touch_stability,pass,not_reset,
217,trades,1782283391748,1782283391945007683,1272,1035.040145,False,213,1782283389333,2415,216,1782283390476,1272,219,1782283394689,2941,218,1782283394004,2256,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,54,285516,real_bbo_history_touch_stability,pass,not_reset,
218,trades,1782283394004,1782283394254194599,2256,2309.186916,False,213,1782283389333,4671,217,1782283391748,2256,219,1782283394689,685,220,1782283398013,4009,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,54,287772,real_bbo_history_touch_stability,pass,not_reset,
219,l2Book,1782283394689,1782283394977748345,685,723.553746,False,213,1782283389333,5356,218,1782283394004,685,221,1782283400121,5432,220,1782283398013,3324,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,55,288457,real_bbo_history_insufficient,block,missing,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence
220,trades,1782283398013,1782283398275949102,3324,3298.200757,False,219,1782283394689,3324,218,1782283394004,4009,221,1782283400121,2108,222,1782283401002,2989,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,55,291781,real_bbo_history_touch_stability,pass,missing,missing_same_side_strict_through_support
221,l2Book,1782283400121,1782283400433229648,2108,2157.280546,False,219,1782283394689,5432,220,1782283398013,2108,228,1782283405562,5441,222,1782283401002,881,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,56,293889,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
222,trades,1782283401002,1782283401247501970,881,814.272322,False,221,1782283400121,881,220,1782283398013,2989,228,1782283405562,4560,223,1782283402008,1006,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,56,294770,real_bbo_history_touch_stability,pass,reset_supported,missing_same_side_strict_through_support
223,trades,1782283402008,1782283402252759144,1006,1005.257174,False,221,1782283400121,1887,222,1782283401002,1006,228,1782283405562,3554,224,1782283404487,2479,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,56,295776,real_bbo_history_touch_stability,pass,reset_supported,
224,trades,1782283404487,1782283404718104564,2479,2465.34542,False,221,1782283400121,4366,223,1782283402008,2479,228,1782283405562,1075,225,1782283405024,537,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,56,298255,real_bbo_history_touch_stability,pass,reset_supported,
225,trades,1782283405024,1782283405265372373,537,547.267809,False,221,1782283400121,4903,224,1782283404487,537,228,1782283405562,538,226,1782283405428,404,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,56,298792,real_bbo_history_touch_stability,pass,reset_supported,
