inventory_bucket,side_class,quote_distance_bucket,fair_or_reservation_edge_bucket,latency_stale_bucket,post_only_safety_bucket,reject_throttle_churn_bucket,fill_after_cancel_bucket,bucket_level,scope,rows_before,rows_after,rows_delta,fills_before,fills_after,fills_delta,sample_count_before,sample_count_after,sample_count_delta,fill_sample_count_before,fill_sample_count_after,fill_sample_count_delta,fill_rate_before,fill_rate_after,fill_rate_delta,clean_only_fill_mass_before,clean_only_fill_mass_after,clean_only_fill_mass_delta,side_adjusted_markout_5000ms_mean_before,side_adjusted_markout_5000ms_mean_after,spread_capture_ticks_mean_before,spread_capture_ticks_mean_after,fee_adjusted_spread_capture_ticks_mean_before,fee_adjusted_spread_capture_ticks_mean_after,fill_after_cancel_rate_before,fill_after_cancel_rate_after,inventory_increasing_fill_rate_before,inventory_increasing_fill_rate_after,inventory_reducing_fill_rate_before,inventory_reducing_fill_rate_after,post_only_risk_rows_before,post_only_risk_rows_after,reject_throttle_churn_rows_before,reject_throttle_churn_rows_after,verdict_before,verdict_after,flow_class,flow_note
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,all_fill_after_cancel_outcomes,decision_visible_trigger,clean_only,2,6,4,0,1,1,2,3,1,0,1,1,0,0.166667,0.166667,0,1,1,,-148.5,,0.5,,0.5,,1,,1,,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,8,9,1,8,9,1,2,3,1,2,3,1,1,1,0,,,0,-50.125,-50.125,43.875,40.722222,43.875,40.722222,1,1,0.25,0.333333,0,0,0,0,8,9,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,8,9,1,8,9,1,2,3,1,2,3,1,1,1,0,8,9,1,-50.125,-50.125,43.875,40.722222,43.875,40.722222,1,1,0.25,0.333333,0,0,0,0,8,9,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,2,3,1,2,3,1,1,2,1,1,2,1,1,1,0,,,0,-57.5,-57.5,9,8.5,9,8.5,1,1,1,0.666667,0,0,0,0,2,3,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,1,1,,,,7.5,,7.5,,1,,0,,0,,0,,1,,reject_quality_negative,new_bucket,new clean-only bucket appeared or became active after the 120min sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,3,4,1,3,4,1,3,4,1,3,4,1,1,1,0,,,0,-113.5,-113.5,24.833333,24.25,24.833333,24.25,1,1,0.666667,0.75,0,0,0,0,3,4,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,fast_cancel_churn,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,2,3,1,2,3,1,2,3,1,2,3,1,1,1,0,2,3,1,-10.5,-10.5,25.5,24.5,25.5,24.5,1,1,0.5,0.666667,0,0,0,0,2,3,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,7,8,1,7,8,1,4,5,1,4,5,1,1,1,0,,,0,-257.75,-219.3,19.785714,18.125,19.785714,18.125,1,1,0.714286,0.75,0,0,0,0,7,8,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,5,6,1,5,6,1,3,4,1,3,4,1,1,1,0,5,6,1,-312.5,-250.75,21.5,19,21.5,19,1,1,0.8,0.833333,0,0,0,0,5,6,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,,,0,-65.5,-38.5,15.5,13,15.5,13,1,1,0,0.5,0,0,0,0,1,2,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,-65.5,-38.5,15.5,13,15.5,13,1,1,0,0.5,0,0,0,0,1,2,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,14,15,1,14,15,1,5,6,1,5,6,1,1,1,0,,,0,-38.961538,-38.961538,25.142857,24.233333,25.142857,24.233333,1,1,0.642857,0.6,0,0,0,0,14,15,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,13,14,1,13,14,1,4,5,1,4,5,1,1,1,0,13,14,1,-44.416667,-44.416667,25.038462,24.071429,25.038462,24.071429,1,1,0.692308,0.642857,0,0,0,0,13,14,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,2,3,1,2,3,1,2,3,1,2,3,1,1,1,0,,,0,,,53.5,41.833333,53.5,41.833333,0,0,0.5,0.333333,0,0,0,0,2,3,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,,,56.5,37.5,56.5,37.5,0,0,1,0.5,0,0,0,0,1,2,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,10,11,1,10,11,1,5,6,1,5,6,1,1,1,0,,,0,-129.5,-114.5,27.722222,27.7,27.722222,27.7,0,0,0.3,0.272727,0,0,0,0,10,11,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,8,9,1,8,9,1,4,5,1,4,5,1,1,1,0,8,9,1,-129.5,-114.5,27.214286,27.25,27.214286,27.25,0,0,0.25,0.222222,0,0,0,0,8,9,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,9,10,1,9,10,1,6,7,1,6,7,1,1,1,0,,,0,-70.833333,-70.833333,0.5,0.5,0.5,0.5,0,0,0.666667,0.6,0,0,0,0,9,10,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,8,9,1,8,9,1,5,6,1,5,6,1,1,1,0,8,9,1,-70.833333,-70.833333,0.5,0.5,0.5,0.5,0,0,0.625,0.555556,0,0,0,0,8,9,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,,0,,-148.5,,0.5,,0.5,,1,,1,,0,,0,,0,,needs_more_clean_fills,new_bucket,new clean-only bucket appeared or became active after the 120min sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_join_stale,guarded_depth_fallback,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,1,1,,-148.5,,0.5,,0.5,,1,,1,,0,,0,,0,,needs_more_clean_fills,new_bucket,new clean-only bucket appeared or became active after the 120min sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,4,5,1,4,5,1,3,4,1,3,4,1,1,1,0,,,0,-96.5,-97,0.5,0.5,0.5,0.5,1,1,0.5,0.4,0,0,0,0,4,5,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,4,5,1,4,5,1,3,4,1,3,4,1,1,1,0,4,5,1,-96.5,-97,0.5,0.5,0.5,0.5,1,1,0.5,0.4,0,0,0,0,4,5,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,23,24,1,23,24,1,5,6,1,5,6,1,1,1,0,,,0,-163.642857,-163.642857,3.413043,3.291667,3.413043,3.291667,1,1,0.652174,0.666667,0,0,0,0,23,24,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,20,21,1,20,21,1,4,5,1,4,5,1,1,1,0,20,21,1,-176.166667,-176.166667,3.85,3.690476,3.85,3.690476,1,1,0.6,0.619048,0,0,0,0,20,21,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,15,16,1,15,16,1,5,6,1,5,6,1,1,1,0,,,0,-117.583333,-112.5,0.566667,0.5625,0.566667,0.5625,1,1,0.6,0.5625,0,0,0,0,15,16,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,fresh_low_latency,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,12,13,1,12,13,1,4,5,1,4,5,1,1,1,0,12,13,1,-114,-108.318182,0.583333,0.576923,0.583333,0.576923,1,1,0.583333,0.538462,0,0,0,0,12,13,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,3,4,1,3,4,1,3,4,1,3,4,1,1,1,0,,,0,-173.5,-130.5,0.5,0.5,0.5,0.5,1,1,0.333333,0.5,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,3,4,1,3,4,1,3,4,1,3,4,1,1,1,0,3,4,1,-173.5,-130.5,0.5,0.5,0.5,0.5,1,1,0.333333,0.5,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,2,3,1,2,3,1,2,3,1,2,3,1,1,1,0,,,0,,,0.5,0.5,0.5,0.5,0,0,0,0.333333,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,2,3,1,2,3,1,2,3,1,2,3,1,1,1,0,2,3,1,,,0.5,0.5,0.5,0.5,0,0,0,0.333333,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,7,8,1,7,8,1,4,5,1,4,5,1,1,1,0,,,0,-9.5,-7,0.5,0.5,0.5,0.5,1,1,0.285714,0.25,0,0,0,0,7,8,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,7,8,1,7,8,1,4,5,1,4,5,1,1,1,0,7,8,1,-9.5,-7,0.5,0.5,0.5,0.5,1,1,0.285714,0.25,0,0,0,0,7,8,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,,,0,-32.5,-66,0.5,0.5,0.5,0.5,0,0,1,1,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,-32.5,-66,0.5,0.5,0.5,0.5,0,0,1,1,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,4,5,1,4,5,1,3,4,1,3,4,1,1,1,0,,,0,-41.5,-40.5,0.5,0.5,0.5,0.5,1,1,0.25,0.4,0,0,0,0,4,5,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,3,4,1,3,4,1,2,3,1,2,3,1,1,1,0,3,4,1,-41.5,-40.5,0.5,0.5,0.5,0.5,1,1,0.333333,0.5,0,0,0,0,3,4,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,17,18,1,17,18,1,7,8,1,7,8,1,1,1,0,,,0,-118.214286,-110.366667,-0.676471,-0.611111,-0.676471,-0.611111,0,0,0.411765,0.444444,0,0,0,0,17,18,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
mild_skew,add_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,15,16,1,15,16,1,6,7,1,6,7,1,1,1,0,15,16,1,-118.214286,-110.366667,-0.833333,-0.75,-0.833333,-0.75,0,0,0.466667,0.5,0,0,0,0,15,16,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,,0,,-38.5,,1.5,,1.5,,1,,1,,0,,0,,0,,needs_more_clean_fills,new_bucket,new clean-only bucket appeared or became active after the 120min sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,1,1,,-38.5,,1.5,,1.5,,1,,1,,0,,0,,0,,needs_more_clean_fills,new_bucket,new clean-only bucket appeared or became active after the 120min sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,5,6,1,5,6,1,4,5,1,4,5,1,1,1,0,,,0,-48.166667,-56,18.375,18.8,18.375,18.8,0,0,0.6,0.666667,0,0,0,0,5,6,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,5,6,1,5,6,1,4,5,1,4,5,1,1,1,0,5,6,1,-48.166667,-56,18.375,18.8,18.375,18.8,0,0,0.6,0.666667,0,0,0,0,5,6,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,,0,,-80.5,,19.5,,19.5,,0,,1,,0,,0,,0,,needs_more_clean_fills,new_bucket,new clean-only bucket appeared or became active after the 120min sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_join_stale,guarded_depth_fallback,churn_normal,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,0,1,1,0,1,1,0,1,1,0,1,1,,1,1,,1,1,,-80.5,,19.5,,19.5,,0,,1,,0,,0,,0,,needs_more_clean_fills,new_bucket,new clean-only bucket appeared or became active after the 120min sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,5,6,1,5,6,1,4,5,1,4,5,1,1,1,0,,,0,-104.75,-120.7,9.7,31.5,9.7,31.5,1,1,0.6,0.666667,0,0,0,0,5,6,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,3,4,1,3,4,1,3,4,1,3,4,1,1,1,0,3,4,1,10.5,-38.25,11.833333,44,11.833333,44,1,1,0.333333,0.5,0,0,0,0,3,4,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,3,4,1,3,4,1,2,3,1,2,3,1,1,1,0,,,0,-43,-60.833333,37.166667,36.75,37.166667,36.75,0,0,0,0,0,0,0,0,3,4,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,guarded_depth_fallback,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,88.5,-4,58.5,47,58.5,47,0,0,0,0,0,0,0,0,1,2,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,11,12,1,11,12,1,4,5,1,4,5,1,1,1,0,,,0,-50.8,-61.409091,42.5,44.590909,42.5,44.590909,0,0,0.545455,0.583333,0,0,0,0,11,12,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,step_back_gt1,edge_weak_or_neutral,stale_latency_medium,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,10,11,1,10,11,1,3,4,1,3,4,1,1,1,0,10,11,1,-23.277778,-37.7,45.388889,47.4,45.388889,47.4,0,0,0.6,0.636364,0,0,0,0,10,11,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,3,4,1,3,4,1,2,3,1,2,3,1,1,1,0,,,0,-153.5,-99.5,0.5,0.5,0.5,0.5,0,0,0.666667,0.5,0,0,0,0,3,4,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_high,guarded_depth_fallback,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,-153.5,-99.5,0.5,0.5,0.5,0.5,0,0,1,0.5,0,0,0,0,1,2,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,accepted_set,8,9,1,8,9,1,5,6,1,5,6,1,1,1,0,,,0,-64.333333,-73.071429,0.5,0.5,0.5,0.5,0,0,0.375,0.333333,0,0,0,0,8,9,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_high,post_only_clean,recent_reject_or_throttle,filled_no_cancel_race,fill_after_cancel_sensitivity,clean_only,7,8,1,7,8,1,4,5,1,4,5,1,1,1,0,7,8,1,-51.9,-64.166667,0.5,0.5,0.5,0.5,0,0,0.428571,0.375,0,0,0,0,7,8,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,25,26,1,25,26,1,7,8,1,7,8,1,1,1,0,,,0,-160.3,-160.3,0.34,0.384615,0.34,0.384615,1,1,0.52,0.538462,0,0,0,0,25,26,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
flat,flat_side,touch,edge_strong_favorable,stale_latency_medium,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,22,23,1,22,23,1,6,7,1,6,7,1,1,1,0,22,23,1,-177.735294,-177.735294,1.090909,1.108696,1.090909,1.108696,1,1,0.545455,0.565217,0,0,0,0,22,23,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,20,21,1,20,21,1,3,4,1,3,4,1,1,1,0,,,0,-78.657895,-78.657895,34.05,34.738095,34.05,34.738095,1,1,0,0,0.5,0.52381,0,0,20,21,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,fresh_low_latency,post_only_clean,recent_reject_or_throttle,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,18,19,1,18,19,1,2,3,1,2,3,1,1,1,0,18,19,1,-79.111111,-79.111111,32.333333,33.184211,32.333333,33.184211,1,1,0,0,0.5,0.526316,0,0,18,19,reject_quality_negative,reject_quality_negative,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,accepted_set,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,,,0,,,33.5,19.5,33.5,19.5,1,1,0,0,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
large_skew_or_low_score,reduce_side,step_back_gt1,edge_weak_or_neutral,stale_latency_high,guarded_depth_fallback,churn_normal,fill_after_cancel_fast,fill_after_cancel_sensitivity,clean_only,1,2,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,1,,,33.5,19.5,33.5,19.5,1,1,0,0,0,0,0,0,0,0,needs_more_clean_fills,needs_more_clean_fills,existing_growth,existing clean-only bucket absorbed additional rows/fills from the new sample
